
False negative test rate,Tracing efficiency,N_infected_done,N_recovered,ReffMean,ReffStd,ReffTheoretical,N_traced,propTracedMean,propTracedStd,theoreticalMean_NoTracingTerm,theoreticalMean_TracingTerm
0.34,0.02,15755.414,10000.0,1.5755414000000003,0.002688052041839829,1.573383503138216,66.068,0.006673535353535348,4.214372164620138e-5,0.4210572416439077,1.2540872509824268
0.36000000000000004,0.02,15825.822,9980.654,1.5839251792048934,0.0032086161586237436,1.5870364669054302,63.658,0.006430101010101006,4.1681647659885794e-5,0.4081507313469026,1.1566306914760858
0.38000000000000006,0.02,15999.482,10000.0,1.5999482000000003,0.0027353174214910826,1.599759284669001,61.7,0.006232323232323227,4.052077224589634e-5,0.3954891050175246,1.1579030775199075
0.4000000000000001,0.02,16104.02,10000.0,1.6104020000000001,0.0029584509013115194,1.6125636997508084,58.97,0.005956565656565652,3.7755844555880804e-5,0.38313308555888637,1.105565261818363
0.4200000000000001,0.02,16187.496,9980.446,1.6198281390134532,0.003492340557357876,1.6258322945267438,56.234,0.005680202020202018,3.920803371293797e-5,0.37021512260852263,1.0660676381838354
0.4400000000000001,0.02,16378.102,10000.0,1.6378102,0.002845050645994998,1.6386361510488399,55.164,0.005572121212121209,3.583423783308482e-5,0.35753817392686066,1.044112438674949
0.46000000000000013,0.02,16487.884,10000.0,1.6487884,0.002883419224415252,1.6501879760327276,52.062,0.005258787878787876,3.227529668563088e-5,0.34639718623039883,0.9957555204290273
0.48000000000000015,0.02,16613.146,10000.0,1.6613145999999999,0.0029885104120021553,1.6649682978140048,49.702,0.005020404040404041,3.3860408069824043e-5,0.3319751255325771,0.9408059345310003
0.5000000000000001,0.02,16773.662,10000.0,1.6773662000000005,0.0028350452126616374,1.6767234451618285,48.43,0.004891919191919191,3.502278723483981e-5,0.32036598346094775,0.9153413424226597
0.5200000000000001,0.02,16958.158,10000.0,1.6958157999999999,0.002921254407844463,1.6904230985295485,45.95,0.004641414141414142,3.237692525345336e-5,0.30686992581203576,0.8900921024892245
0.5400000000000001,0.02,17041.438,10000.0,1.7041437999999998,0.0030657461672885587,1.7031804383051024,43.562,0.00440020202020202,3.1520179300487316e-5,0.294350031993845,0.8555810140520876
0.5600000000000002,0.02,17185.866,10000.0,1.7185866,0.0029750383842322625,1.717190293224892,41.452,0.004187070707070707,3.158806993579095e-5,0.28058289121376506,0.8124142638205265
0.5800000000000002,0.02,17258.332,10000.0,1.7258332,0.002814019788533926,1.7302696480311182,39.066,0.003946060606060605,3.1677900152396085e-5,0.2677895288359869,0.7596276749389618
0.6000000000000002,0.02,17407.396,10000.0,1.7407396,0.0029586719085774294,1.7425004334910033,37.326,0.003770303030303029,2.9286585023584508e-5,0.2557555592651185,0.718319769584895
0.6200000000000002,0.02,17555.21,10000.0,1.7555209999999997,0.0030637775218522014,1.754729605326349,35.592,0.003595151515151513,2.8928968142693386e-5,0.24364863969328365,0.6947436696336107
0.6400000000000002,0.02,17689.604,10000.0,1.7689603999999997,0.003036561759345038,1.7687214724535956,33.202,0.0033537373737373716,2.7272763259379465e-5,0.2297991231651348,0.6709202416089055
0.6600000000000003,0.02,17774.51,10000.0,1.7774510000000003,0.0031191015030570496,1.7808780178680952,31.148,0.0031462626262626237,2.9253882699086217e-5,0.2177038295603266,0.6684457859820355
